21 :N

Control Points(dx,dy,dz):
0.000000 0.000000 0.000000
0.000000 0.380600 -0.380600
0.000000 1.464470 -1.464470 
0.000000 3.086580 -3.086580
0.000000 5.000000 -5.000000 
0.000000 6.913420 -6.913420
0.000000 8.535530 -8.535530
0.000000 9.619400 -9.619400
0.000000 10.000000 -10.000000
0.000000 9.829630 -9.829630
0.000000 9.330130 -9.330130
0.000000 8.535530 -8.535530
0.000000 7.500000 -7.500000
0.000000 6.294100 -6.294100 
0.000000 5.000000 -5.000000
0.000000 3.705900 -3.705900
0.000000 2.500000 -2.500000
0.000000 1.464470 -1.464470
0.000000 0.669870 -0.669870
0.000000 0.170370 -0.170370
0.000000 0.000000 0.000000

